MacAdress,ProcessDate,Temperature,Longitude,Latitude,accuracy,UserId,Id,TimeStamp
00:1B:10:18:30:29,2020-05-04 22:30:00,36.0,29.045867,41.1313729,3.9,28,9007,1588631400000000000
00:1B:10:18:3F:41,2020-05-04 22:40:00,36.310001373291016,28.8497764,41.0068821,13.113,50,8828,1588632000000000000
00:1B:10:18:30:29,2020-05-04 22:40:00,35.0,29.045867,41.1313729,3.9,28,9029,1588632000000000000
00:1B:10:18:30:29,2020-05-04 22:50:00,36.0,29.0459053,41.1312836,19.496,28,9050,1588632600000000000
00:1B:10:18:35:6C,2020-05-04 22:50:00,35.83000183105469,28.9000237,41.0258684,12.619,30,8643,1588632600000000000
00:1B:10:18:30:29,2020-05-04 23:00:00,36.0,29.0458977,41.1312884,17.454,28,9070,1588633200000000000
00:1B:10:18:2E:46,2020-05-04 23:00:00,35.83000183105469,28.8568032,41.0215236,17.291,45,8661,1588633200000000000
00:1B:10:18:2D:73,2020-05-04 23:00:00,36.349998474121094,28.9175876,41.0846929,14.588,49,8666,1588633200000000000
00:1B:10:18:30:29,2020-05-04 23:10:00,36.0,29.0458128,41.1312109,112.199,28,9091,1588633800000000000
00:1B:10:18:2D:73,2020-05-04 23:10:00,36.36000061035156,28.9175813,41.0846979,65.494,49,8691,1588633800000000000
00:1B:10:18:2E:46,2020-05-04 23:10:00,35.900001525878906,28.8576503,41.0235874,531.696,45,8685,1588633800000000000
00:1B:10:18:2D:73,2020-05-04 23:20:00,36.41999816894531,28.9175822,41.0846999,51.315,49,8715,1588634400000000000
00:1B:10:18:2E:46,2020-05-04 23:20:00,28.3700008392334,28.8576503,41.0235874,531.696,45,8708,1588634400000000000
00:1B:10:18:30:29,2020-05-04 23:20:00,35.0,29.0459045,41.1312882,18.185,28,9137,1588634400000000000
00:1B:10:18:33:47,2020-05-04 23:20:00,36.0,0.0,0.0,0.0,34,9119,1588634400000000000
00:1B:10:18:37:33,2020-05-04 23:30:00,33.279998779296875,28.8475273,41.0457851,14.382,47,8721,1588635000000000000
00:1B:10:18:2E:46,2020-05-04 23:30:00,26.56999969482422,28.8576503,41.0235874,531.696,45,8812,1588635000000000000
00:1B:10:18:2D:73,2020-05-04 23:30:00,36.45000076293945,28.9175819,41.0847016,42.754,49,8741,1588635000000000000
00:1B:10:18:33:47,2020-05-04 23:30:00,36.0,0.0,0.0,0.0,34,9143,1588635000000000000
00:1B:10:18:4C:36,2020-05-04 23:30:00,36.29999923706055,28.9866346,41.0298609,29.661,20,8726,1588635000000000000
00:1B:10:18:30:29,2020-05-04 23:40:00,35.0,29.0456981,41.1312782,16.868,28,9707,1588635600000000000
00:1B:10:18:35:6C,2020-05-04 23:40:00,35.83000183105469,28.9000864,41.025806,27.973,30,8759,1588635600000000000
00:1B:10:18:2D:73,2020-05-04 23:40:00,36.47999954223633,28.9175817,41.0847032,17.699,49,8768,1588635600000000000
00:1B:10:18:4C:36,2020-05-04 23:40:00,36.33000183105469,28.9866357,41.0299226,37.023,20,8752,1588635600000000000
00:1B:10:18:33:47,2020-05-04 23:40:00,36.0,0.0,0.0,0.0,34,9168,1588635600000000000
00:1B:10:18:37:33,2020-05-04 23:40:00,36.380001068115234,28.8475278,41.0457849,13.746,47,8747,1588635600000000000
00:1B:10:18:37:33,2020-05-04 23:50:00,27.84000015258789,28.8475316,41.0457854,15.199,47,8772,1588636200000000000
00:1B:10:18:33:47,2020-05-04 23:50:00,36.0,0.0,0.0,0.0,34,9193,1588636200000000000
00:1B:10:18:2D:73,2020-05-04 23:50:00,36.540000915527344,28.9175834,41.0847033,13.491,49,8792,1588636200000000000
00:1B:10:18:4C:36,2020-05-04 23:50:00,36.34000015258789,28.986685,41.0298507,29.871,20,8776,1588636200000000000
00:1B:10:18:33:47,2020-05-05 00:00:00,36.0,0.0,0.0,0.0,34,9217,1588636800000000000
00:1B:10:18:4C:36,2020-05-05 00:00:00,36.400001525878906,28.9867915,41.0298648,26.289,20,8891,1588636800000000000
00:1B:10:18:2D:73,2020-05-05 00:00:00,36.47999954223633,28.9175797,41.0847062,57.904,49,8818,1588636800000000000
00:1B:10:18:35:6C,2020-05-05 00:00:00,35.79999923706055,28.9000119,41.0258655,16.155,30,8809,1588636800000000000
00:1B:10:18:37:33,2020-05-05 00:00:00,36.959999084472656,28.8475236,41.0457831,13.755,47,8798,1588636800000000000
00:1B:10:18:50:2F,2020-05-05 00:00:00,36.34000015258789,28.7620071,41.0472071,12.0,26,8795,1588636800000000000
00:1B:10:18:3A:37,2020-05-05 00:00:00,36.4900016784668,28.8425448,41.058392,13.593,56,10507,1588636800000000000
