MacAdress,ProcessDate,Temperature,Longitude,Latitude,accuracy,UserId,Id
00:1B:10:18:50:2F,2020-05-01 07:15:18.913,35.0,28.7624257,41.0476841,400.0,26,160
00:1B:10:18:50:2F,2020-05-01 07:25:18.077,25.0,28.7617899,41.0472976,22.269,26,162
00:1B:10:18:50:2F,2020-05-01 07:35:17.907,23.0,28.7617893,41.0472972,22.923,26,164
00:1B:10:18:50:2F,2020-05-01 07:45:18.343,35.0,28.7604293,41.0453221,899.999,26,166
00:1B:10:18:50:2F,2020-05-01 07:55:18.127,35.0,28.767701,41.0231709,56.34,26,168
00:1B:10:18:50:2F,2020-05-01 08:05:18.027,35.0,28.7706523,40.9857419,36.609,26,170
00:1B:10:18:50:2F,2020-05-01 08:10:19.147,35.0,28.7713185,40.9855203,37.714,26,174
00:1B:10:18:50:2F,2020-05-01 08:35:18.210,35.0,28.7717839,40.9851102,55.725,26,176
00:1B:10:18:50:2F,2020-05-01 08:43:33.950,35.0,28.7718354,40.9850888,59.729,26,178
00:1B:10:18:50:2F,2020-05-01 08:55:13.790,35.0,28.7714175,40.9855769,27.11,26,180
00:1B:10:18:50:2F,2020-05-01 09:05:18.880,34.0,28.7717976,40.9850518,402.0,26,182
00:1B:10:18:50:2F,2020-05-01 09:15:18.917,34.0,28.7713631,40.9855799,42.947,26,185
00:1B:10:18:50:2F,2020-05-01 09:25:18.737,34.0,28.7717978,40.9850138,604.0,26,188
00:1B:10:18:50:2F,2020-05-01 09:31:33.807,35.0,28.7719715,40.9852058,608.0,26,192
00:1B:10:18:50:2F,2020-05-01 09:37:34.120,35.0,28.7718757,40.9850935,601.95,26,196
00:1B:10:18:50:2F,2020-05-01 09:55:19.053,35.0,28.7713238,40.9851771,34.618,26,199
00:1B:10:18:50:2F,2020-05-01 10:05:19.090,35.0,28.7718135,40.9850555,53.796,26,202
00:1B:10:18:50:2F,2020-05-01 10:12:29.203,35.0,28.7753664,40.9861578,1000.0,26,205
00:1B:10:18:50:2F,2020-05-01 10:25:19.327,35.0,28.7718835,40.9850413,8.0,26,208
00:1B:10:18:50:2F,2020-05-01 10:35:19.297,35.0,28.771585,40.9852027,71.323,26,211
00:1B:10:18:1D:0C,2020-05-01 10:46:06.997,35.0,28.7617893,41.0473032,18.253,24,215
00:1B:10:18:1D:0C,2020-05-01 10:56:07.210,36.0,28.7617889,41.0472919,14.575,24,219
00:1B:10:18:1D:0C,2020-05-01 11:06:07.207,36.0,28.7617931,41.0473208,23.213,24,224
00:1B:10:18:1D:0C,2020-05-01 11:16:06.837,36.0,28.7617839,41.0472967,26.633,24,228
00:1B:10:18:1D:0C,2020-05-01 11:26:06.857,36.0,28.7617842,41.0472918,23.697,24,232
00:1B:10:18:1D:0C,2020-05-01 11:36:06.873,36.0,28.7617821,41.0472971,28.944,24,236
00:1B:10:18:1D:0C,2020-05-01 11:46:06.893,36.0,28.7617734,41.0472837,28.27,24,240
00:1B:10:18:1D:0C,2020-05-01 11:56:07.107,36.0,28.7617853,41.0472965,25.253,24,244
00:1B:10:18:1D:0C,2020-05-01 12:05:56.797,36.0,28.7618079,41.0472997,14.558,24,247
00:1B:10:18:1D:0C,2020-05-01 12:16:07.047,36.0,28.7617662,41.047287,12.35,24,250
00:1B:10:18:1D:0C,2020-05-01 12:23:23.070,36.0,28.7617839,41.0473038,13.972,24,253
00:1B:10:18:1D:0C,2020-05-01 12:33:17.570,35.0,28.7617705,41.0472821,25.248,24,255
00:1B:10:18:1D:0C,2020-05-01 12:46:07.490,35.0,28.7617444,41.0472819,13.423,24,257
00:1B:10:18:1D:0C,2020-05-01 12:54:22.793,35.0,28.7617693,41.0472878,14.065,24,259
00:1B:10:18:1D:0C,2020-05-01 13:06:07.723,35.0,28.7617865,41.0473026,14.66,24,261
00:1B:10:18:30:29,2020-05-01 13:18:44.320,35.0,29.0255743,41.1036422,33.892,28,263
00:1B:10:18:30:29,2020-05-01 13:29:44.283,34.0,29.0255834,41.1036213,17.086,28,265
00:1B:10:18:43:B5,2020-05-01 13:37:58.133,36.0,29.0253073,41.1036559,21.287,29,267
00:1B:10:18:35:6C,2020-05-01 13:39:07.400,35.0,28.8221669,41.0538592,51.048,30,268
00:1B:10:18:30:29,2020-05-01 13:39:44.533,43.0,29.0257029,41.1036724,14.219,28,269
00:1B:10:18:43:B5,2020-05-01 13:40:58.027,36.0,29.0253073,41.1036559,21.287,29,271
00:1B:10:18:2B:D6,2020-05-01 13:48:49.887,36.0,28.8221741,41.0538573,10.0,30,272
00:1B:10:18:35:6C,2020-05-01 13:49:06.630,26.0,28.822223,41.0539672,26.046,30,273
00:1B:10:18:30:29,2020-05-01 13:49:44.370,42.0,29.0255023,41.1037118,75.947,28,274
00:1B:10:18:43:B5,2020-05-01 13:57:58.287,36.0,29.0256595,41.1036446,21.559,29,276
00:1B:10:18:35:6C,2020-05-01 13:59:06.643,26.0,28.8221981,41.0538285,12.892,30,277
00:1B:10:18:30:29,2020-05-01 13:59:44.407,36.0,29.0256962,41.1036752,15.016,28,278
00:1B:10:18:2B:D6,2020-05-01 13:59:55.393,24.0,28.8221567,41.0538557,10.0,30,279
00:1B:10:18:2B:D6,2020-05-01 14:00:55.393,27.0,28.8221567,41.0538557,10.0,30,280
00:1B:10:18:2B:D6,2020-05-01 14:01:55.383,29.0,28.8221834,41.0539091,10.0,30,281
00:1B:10:18:2B:D6,2020-05-01 14:02:55.403,31.0,28.8221834,41.0539091,10.0,30,282
00:1B:10:18:2B:D6,2020-05-01 14:03:55.393,33.0,28.8222642,41.0541262,4.9,30,283
00:1B:10:18:2B:D6,2020-05-01 14:04:55.400,33.0,28.8222642,41.0541262,13.087,30,284
00:1B:10:18:2B:D6,2020-05-01 14:05:55.500,34.0,28.8222642,41.0541262,13.087,30,286
00:1B:10:18:2B:D6,2020-05-01 14:06:55.403,34.0,28.8222725,41.0541837,77.418,30,287
00:1B:10:18:2B:D6,2020-05-01 14:07:55.397,34.0,28.8222725,41.0541837,77.418,30,288
00:1B:10:18:43:B5,2020-05-01 14:07:58.787,36.0,29.0255695,41.1036354,6.5,29,289
00:1B:10:18:2B:D6,2020-05-01 14:08:55.397,31.0,28.8221491,41.0538279,28.855,30,290
00:1B:10:18:30:29,2020-05-01 14:09:44.437,34.0,29.0255438,41.1036228,13.902,28,292
00:1B:10:18:2B:D6,2020-05-01 14:09:55.400,30.0,28.8221491,41.0538279,28.855,30,293
00:1B:10:18:2B:D6,2020-05-01 14:10:55.403,29.0,28.8221428,41.0538677,10.0,30,295
00:1B:10:18:2B:D6,2020-05-01 14:11:55.397,29.0,28.8221601,41.053861,10.0,30,297
00:1B:10:18:2B:D6,2020-05-01 14:12:55.403,28.0,28.8221601,41.053861,10.0,30,298
00:1B:10:18:2B:D6,2020-05-01 14:13:55.483,28.0,28.8221601,41.053861,10.0,30,300
00:1B:10:18:2B:D6,2020-05-01 14:14:55.400,28.0,28.8221715,41.0538796,10.0,30,302
00:1B:10:18:4F:9F,2020-05-01 14:16:13.270,35.0,28.8221946,41.0538334,10.0,27,306
00:1B:10:18:4F:9F,2020-05-01 14:17:48.077,35.0,28.8221953,41.0538462,10.0,27,308
00:1B:10:18:43:B5,2020-05-01 14:17:58.287,36.0,29.0254866,41.1035968,6.234,29,310
00:1B:10:18:4F:9F,2020-05-01 14:18:48.070,35.0,28.8221953,41.0538462,10.0,27,311
00:1B:10:18:35:6C,2020-05-01 14:08:56.513,26.0,28.8222013,41.0538256,18.253,30,313
00:1B:10:18:30:29,2020-05-01 14:19:44.423,35.0,29.0256703,41.1036846,19.271,28,314
00:1B:10:18:4F:9F,2020-05-01 14:19:48.077,29.0,28.822363,41.0537891,4.9,27,315
00:1B:10:18:4F:9F,2020-05-01 14:20:43.070,35.0,28.8221667,41.0538484,10.0,27,321
00:1B:10:18:45:9B,2020-05-01 14:25:52.737,35.0,28.8221509,41.0538628,10.0,27,327
00:1B:10:18:1D:0C,2020-05-01 14:26:08.060,35.0,28.7617702,41.0472736,13.745,24,329
00:1B:10:18:45:9B,2020-05-01 14:26:52.737,35.0,28.8221509,41.0538628,10.0,27,330
00:1B:10:18:45:9B,2020-05-01 14:27:52.733,35.0,28.8221736,41.053837,10.0,27,332
00:1B:10:18:43:B5,2020-05-01 14:27:58.420,36.0,29.025717,41.1036572,14.334,29,334
00:1B:10:18:45:9B,2020-05-01 14:28:52.727,35.0,28.8221736,41.053837,10.0,27,335
00:1B:10:18:30:29,2020-05-01 14:29:44.457,35.0,29.0256662,41.1036342,67.611,28,338
00:1B:10:18:45:9B,2020-05-01 14:29:52.737,35.0,28.8222112,41.0538248,11.567,27,339
00:1B:10:18:45:9B,2020-05-01 14:30:52.737,35.0,28.8222112,41.0538248,11.567,27,341
00:1B:10:18:45:9B,2020-05-01 14:31:52.740,35.0,28.822202,41.0538855,4.9,27,343
00:1B:10:18:45:9B,2020-05-01 14:32:52.740,35.0,28.822202,41.0538855,4.9,27,345
00:1B:10:18:45:9B,2020-05-01 14:33:52.727,35.0,28.822235,41.0537878,4.9,27,347
00:1B:10:18:45:9B,2020-05-01 14:34:52.737,35.0,28.822235,41.0537878,4.9,27,349
00:1B:10:18:45:9B,2020-05-01 14:35:32.733,35.0,28.8222981,41.0538662,4.9,27,352
00:1B:10:18:1D:0C,2020-05-01 14:36:08.080,36.0,28.7617615,41.047293,14.517,24,354
00:1B:10:18:43:B5,2020-05-01 14:37:58.557,36.0,29.0256682,41.1036528,11.68,29,357
00:1B:10:18:45:9B,2020-05-01 14:38:07.693,35.0,28.8222343,41.053824,10.0,27,358
00:1B:10:18:30:29,2020-05-01 14:39:44.497,36.0,29.0257016,41.1036655,14.204,28,361
00:1B:10:18:1D:0C,2020-05-01 14:46:08.117,36.0,28.7617832,41.0472932,14.183,24,370
00:1B:10:18:43:B5,2020-05-01 14:47:39.953,36.0,29.0256682,41.1036528,11.68,29,373
00:1B:10:18:45:9B,2020-05-01 14:48:52.737,35.0,28.8221647,41.0538476,10.0,27,374
00:1B:10:18:35:6C,2020-05-01 14:21:06.597,30.0,28.8221434,41.0538719,22.965,30,376
00:1B:10:18:30:29,2020-05-01 14:49:44.337,35.0,29.0255675,41.1036294,8.148,28,377
00:1B:10:18:45:9B,2020-05-01 14:49:52.740,35.0,28.8221647,41.0538476,10.0,27,378
00:1B:10:18:45:9B,2020-05-01 14:50:52.833,35.0,28.8221877,41.0538329,10.0,27,380
00:1B:10:18:45:9B,2020-05-01 14:51:52.730,35.0,28.8221877,41.0538329,10.0,27,382
00:1B:10:18:45:9B,2020-05-01 14:52:52.640,35.0,28.8222986,41.0535792,83.246,27,384
00:1B:10:18:45:9B,2020-05-01 14:53:52.733,35.0,28.8222986,41.0535792,83.246,27,386
00:1B:10:18:45:9B,2020-05-01 14:54:52.640,35.0,28.8224309,41.0538865,61.034,27,388
00:1B:10:18:45:9B,2020-05-01 14:55:52.630,35.0,28.8224309,41.0538865,61.034,27,391
00:1B:10:18:1D:0C,2020-05-01 14:56:08.123,36.0,28.7617826,41.0472917,18.057,24,393
00:1B:10:18:45:9B,2020-05-01 14:56:52.640,35.0,28.8223228,41.0537097,46.34,27,394
00:1B:10:18:45:9B,2020-05-01 14:57:52.640,35.0,28.8223228,41.0537097,46.34,27,396
00:1B:10:18:43:B5,2020-05-01 14:57:58.830,35.0,29.020456,41.107175,15.02,29,397
00:1B:10:18:30:29,2020-05-01 14:59:44.367,35.0,29.0304775,41.1095939,104.185,28,400
00:1B:10:18:45:9B,2020-05-01 14:59:58.197,35.0,28.8221854,41.0538329,10.0,27,401
00:1B:10:18:45:9B,2020-05-01 15:00:57.643,35.0,28.8228297,41.0529951,58.348,27,403
00:1B:10:18:45:9B,2020-05-01 15:01:57.630,35.0,28.8222918,41.0537029,50.471,27,405
00:1B:10:18:45:9B,2020-05-01 15:02:57.640,35.0,28.8222918,41.0537029,50.471,27,407
00:1B:10:18:45:9B,2020-05-01 15:03:57.640,35.0,28.8227193,41.0538865,85.342,27,409
00:1B:10:18:45:9B,2020-05-01 15:04:57.637,35.0,28.8227193,41.0538865,85.342,27,411
00:1B:10:18:35:6C,2020-05-01 15:05:18.987,26.0,28.8221929,41.0538359,12.583,30,414
00:1B:10:18:45:9B,2020-05-01 15:05:57.633,35.0,28.8221916,41.0531676,30.437,27,415
00:1B:10:18:1D:0C,2020-05-01 15:04:58.523,36.0,28.761785,41.0472999,13.729,24,417
00:1B:10:18:45:9B,2020-05-01 15:06:57.633,35.0,28.8221916,41.0531676,30.437,27,418
00:1B:10:18:2B:D6,2020-05-01 14:15:05.390,30.0,28.8221715,41.0538796,10.0,30,419
00:1B:10:18:45:9B,2020-05-01 15:07:57.640,35.0,28.8221854,41.0538477,10.0,27,420
00:1B:10:18:43:B5,2020-05-01 15:07:58.773,35.0,29.034406,41.1033558,5.6,29,421
00:1B:10:18:45:9B,2020-05-01 15:08:57.637,35.0,28.8221854,41.0538477,10.0,27,422
00:1B:10:18:30:29,2020-05-01 15:09:44.403,33.0,29.0421232,41.1300379,4.0,28,423
00:1B:10:18:45:9B,2020-05-01 15:09:57.643,35.0,28.8221894,41.053883,10.0,27,424
00:1B:10:18:45:9B,2020-05-01 15:10:57.633,35.0,28.8221894,41.053883,10.0,27,425
00:1B:10:18:45:9B,2020-05-01 15:11:57.633,35.0,28.8228584,41.0536893,4.9,27,426
00:1B:10:18:45:9B,2020-05-01 15:12:57.643,35.0,28.8228584,41.0536893,4.9,27,427
00:1B:10:18:45:9B,2020-05-01 15:13:57.640,35.0,28.8221466,41.0538613,10.0,27,428
00:1B:10:18:45:9B,2020-05-01 15:14:57.633,35.0,28.8221466,41.0538613,10.0,27,429
00:1B:10:18:45:9B,2020-05-01 15:15:57.637,35.0,28.8221466,41.0538613,10.0,27,431
00:1B:10:18:1D:0C,2020-05-01 15:16:08.153,35.0,28.7617939,41.0473056,13.637,24,432
00:1B:10:18:45:9B,2020-05-01 15:16:57.640,35.0,28.8235535,41.0542499,4.9,27,433
00:1B:10:18:43:B5,2020-05-01 15:17:58.880,35.0,29.034406,41.1033558,5.6,29,434
00:1B:10:18:30:29,2020-05-01 15:19:44.437,35.0,29.045872,41.1312574,15.404,28,435
00:1B:10:18:45:9B,2020-05-01 15:20:02.003,35.0,28.8233035,41.0539423,4.9,27,436
00:1B:10:18:45:9B,2020-05-01 15:20:57.637,35.0,28.8234042,41.0541147,106.609,27,437
00:1B:10:18:45:9B,2020-05-01 15:21:57.637,35.0,28.8234042,41.0541147,106.609,27,438
00:1B:10:18:45:9B,2020-05-01 15:22:57.647,35.0,28.8221948,41.053845,10.0,27,439
00:1B:10:18:45:9B,2020-05-01 15:23:57.640,35.0,28.8221948,41.053845,10.0,27,440
00:1B:10:18:45:9B,2020-05-01 15:24:57.637,35.0,28.8221709,41.0538595,10.0,27,441
00:1B:10:18:45:9B,2020-05-01 15:25:57.643,35.0,28.8221709,41.0538595,10.0,27,443
00:1B:10:18:1D:0C,2020-05-01 15:26:08.170,36.0,28.7617836,41.0472937,13.722,24,444
00:1B:10:18:45:9B,2020-05-01 15:26:57.637,35.0,28.8221884,41.0538533,11.2,27,445
00:1B:10:18:45:9B,2020-05-01 15:27:57.643,35.0,28.8221884,41.0538533,11.2,27,446
00:1B:10:18:43:B5,2020-05-01 15:27:58.833,35.0,29.034406,41.1033558,5.6,29,447
00:1B:10:18:30:29,2020-05-01 15:29:44.477,35.0,29.0458704,41.131216,27.427,28,448
00:1B:10:18:43:B5,2020-05-01 15:37:58.793,35.0,29.034406,41.1033558,5.6,29,451
00:1B:10:18:30:29,2020-05-01 15:33:05.017,35.0,29.0458599,41.1312901,20.439,28,452
00:1B:10:18:45:9B,2020-05-01 15:41:32.717,35.0,0.0,0.0,0.0,27,453
00:1B:10:18:45:9B,2020-05-01 15:42:32.707,35.0,28.8221713,41.0538411,10.0,27,454
00:1B:10:18:45:9B,2020-05-01 15:43:32.707,35.0,28.8221713,41.0538411,10.0,27,455
00:1B:10:18:45:9B,2020-05-01 15:44:32.717,35.0,28.8235885,41.0545545,190.715,27,456
00:1B:10:18:45:9B,2020-05-01 15:45:32.707,35.0,28.8235885,41.0545545,190.715,27,458
00:1B:10:18:45:9B,2020-05-01 15:46:32.713,35.0,28.8227478,41.0541484,130.04,27,459
00:1B:10:18:45:9B,2020-05-01 15:47:32.707,35.0,28.8227478,41.0541484,130.04,27,461
00:1B:10:18:43:B5,2020-05-01 15:47:58.930,35.0,29.034406,41.1033558,5.6,29,462
00:1B:10:18:45:9B,2020-05-01 15:48:32.717,35.0,28.8233095,41.0545554,4.9,27,463
00:1B:10:18:45:9B,2020-05-01 15:49:32.717,35.0,28.8233095,41.0545554,4.9,27,464
00:1B:10:18:30:29,2020-05-01 15:49:44.587,35.0,29.0458622,41.1312549,20.453,28,465
00:1B:10:18:45:9B,2020-05-01 15:50:32.710,35.0,28.8226626,41.0540819,54.713,27,466
00:1B:10:18:45:9B,2020-05-01 15:51:32.717,35.0,28.8226626,41.0540819,54.713,27,467
00:1B:10:18:45:9B,2020-05-01 15:52:32.713,35.0,28.8225459,41.0539143,61.797,27,468
00:1B:10:18:45:9B,2020-05-01 15:53:32.717,35.0,28.8225459,41.0539143,61.797,27,469
00:1B:10:18:45:9B,2020-05-01 15:54:32.707,35.0,28.8224761,41.0540387,28.777,27,470
00:1B:10:18:45:9B,2020-05-01 15:55:32.707,35.0,28.8224761,41.0540387,28.777,27,472
00:1B:10:18:45:9B,2020-05-01 15:56:32.720,35.0,28.8221873,41.0538429,10.0,27,473
00:1B:10:18:45:9B,2020-05-01 15:57:32.707,35.0,28.8221873,41.0538429,10.0,27,474
00:1B:10:18:43:B5,2020-05-01 15:57:58.937,35.0,29.034406,41.1033558,5.6,29,475
00:1B:10:18:45:9B,2020-05-01 15:58:32.717,35.0,28.8222086,41.0538288,10.0,27,476
00:1B:10:18:45:9B,2020-05-01 15:59:32.713,35.0,28.8222086,41.0538288,10.0,27,477
00:1B:10:18:30:29,2020-05-01 15:59:44.830,35.0,29.0458875,41.1312885,16.648,28,478
00:1B:10:18:45:9B,2020-05-01 16:00:32.717,35.0,28.8222086,41.0538288,10.0,27,479
00:1B:10:18:45:9B,2020-05-01 16:01:32.713,35.0,28.8221695,41.0538523,10.0,27,480
00:1B:10:18:45:9B,2020-05-01 16:02:32.717,35.0,28.8221695,41.0538523,10.0,27,481
00:1B:10:18:45:9B,2020-05-01 16:03:32.717,35.0,28.8220706,41.0538667,28.504,27,482
00:1B:10:18:43:B5,2020-05-01 16:07:58.883,36.0,29.0337294,41.1037397,15.334,29,485
00:1B:10:18:30:29,2020-05-01 16:09:44.670,35.0,29.045785,41.1312845,100.0,28,486
00:1B:10:18:45:9B,2020-05-01 16:13:04.737,35.0,28.8220706,41.0538667,28.504,27,487
00:1B:10:18:1D:0C,2020-05-01 15:35:43.623,36.0,28.761768,41.0472855,14.85,24,489
00:1B:10:18:43:B5,2020-05-01 16:17:58.840,36.0,29.0337294,41.1037397,15.334,29,490
00:1B:10:18:45:9B,2020-05-01 16:19:03.497,35.0,28.8220706,41.0538667,28.504,27,491
00:1B:10:18:30:29,2020-05-01 16:18:44.683,36.0,29.0458931,41.1312892,15.472,28,492
00:1B:10:18:1D:0C,2020-05-01 16:23:30.717,31.0,28.7617939,41.047293,15.037,24,494
00:1B:10:18:43:B5,2020-05-01 16:27:34.463,35.0,29.0337294,41.1037397,15.334,29,495
00:1B:10:18:30:29,2020-05-01 16:29:44.820,36.0,29.045891,41.1312873,17.163,28,496
00:1B:10:18:1D:0C,2020-05-01 16:36:08.687,35.0,28.7617959,41.0472966,13.492,24,498
00:1B:10:18:43:B5,2020-05-01 16:38:00.093,35.0,29.0337294,41.1037397,15.334,29,499
00:1B:10:18:45:9B,2020-05-01 16:38:55.183,35.0,28.8220706,41.0538667,28.504,27,500
00:1B:10:18:30:29,2020-05-01 16:39:44.667,36.0,29.0458987,41.1312913,17.515,28,501
00:1B:10:18:45:9B,2020-05-01 16:39:53.150,35.0,29.0351767,41.1684622,19.0,27,502
00:1B:10:18:45:9B,2020-05-01 16:41:23.343,35.0,29.0352544,41.1684002,12.403,27,503
00:1B:10:18:1D:0C,2020-05-01 16:46:08.713,35.0,28.7617975,41.0472966,12.954,24,505
00:1B:10:18:43:B5,2020-05-01 16:47:20.957,35.0,29.0337294,41.1037397,15.334,29,506
00:1B:10:18:30:29,2020-05-01 16:49:45.297,35.0,29.0458976,41.1312809,16.106,28,507
00:1B:10:18:35:6C,2020-05-01 16:41:33.183,26.0,28.8222066,41.0538163,17.45,30,508
00:1B:10:18:45:9B,2020-05-01 16:42:08.337,35.0,29.0352544,41.1684002,12.403,27,509
00:1B:10:18:1D:0C,2020-05-01 16:56:09.120,35.0,28.7617984,41.0472916,13.194,24,511
00:1B:10:18:43:B5,2020-05-01 16:58:00.763,35.0,29.0337294,41.1037397,15.334,29,512
00:1B:10:18:30:29,2020-05-01 16:59:44.737,36.0,29.0458795,41.1312673,17.292,28,513
00:1B:10:18:45:9B,2020-05-01 17:03:01.230,35.0,29.0352544,41.1684002,12.403,27,514
00:1B:10:18:1D:0C,2020-05-01 17:05:18.050,35.0,28.7617965,41.0472975,14.129,24,516
00:1B:10:18:43:B5,2020-05-01 17:07:40.373,35.0,29.0337294,41.1037397,15.334,29,517
00:1B:10:18:30:29,2020-05-01 17:09:35.627,36.0,29.0458971,41.1312883,15.241,28,518
00:1B:10:18:1D:0C,2020-05-01 17:15:08.517,36.0,28.7617942,41.0472955,13.68,24,520
00:1B:10:18:45:9B,2020-05-01 17:17:54.190,35.0,29.0352544,41.1684002,12.403,27,521
00:1B:10:18:43:B5,2020-05-01 17:18:00.937,35.0,29.0337431,41.1037363,16.141,29,522
00:1B:10:18:45:9B,2020-05-01 17:18:03.237,35.0,29.0352544,41.1684002,12.403,27,526
00:1B:10:18:43:B5,2020-05-01 17:28:01.043,36.0,29.0337232,41.1038718,33.6,29,527
00:1B:10:18:30:29,2020-05-01 17:14:59.690,35.0,29.0458815,41.1312898,20.518,28,528
00:1B:10:18:1D:0C,2020-05-01 17:20:13.257,36.0,28.7617981,41.0472942,13.46,24,530
00:1B:10:18:43:B5,2020-05-01 17:38:01.000,35.0,29.0337232,41.1038718,33.6,29,531
00:1B:10:18:30:29,2020-05-01 17:39:45.047,28.0,29.0458941,41.1312855,19.649,28,532
00:1B:10:18:1D:0C,2020-05-01 17:46:08.427,36.0,28.7617974,41.0472974,13.461,24,534
00:1B:10:18:43:B5,2020-05-01 17:48:00.957,35.0,29.0337232,41.1038718,33.6,29,535
00:1B:10:18:45:9B,2020-05-01 17:48:39.137,35.0,29.0352544,41.1684002,12.403,27,536
00:1B:10:18:30:29,2020-05-01 17:49:45.080,28.0,29.0458942,41.1312876,19.444,28,537
00:1B:10:18:45:9B,2020-05-01 17:53:51.590,35.0,29.0352544,41.1684002,12.403,27,538
