,MacAdress,ProcessDate,Temperature,Longitude,Latitude,accuracy,UserId,Id
169,00:1B:10:18:43:B5,2020-05-01 13:37:58.133,36.0,29.0253073,41.1036559,21.287,29,267
170,00:1B:10:18:35:6C,2020-05-01 13:39:07.400,35.0,28.8221669,41.0538592,51.048,30,268
171,00:1B:10:18:30:29,2020-05-01 13:39:44.533,43.0,29.0257029,41.1036724,14.219,28,269
172,00:1B:10:18:50:2F,2020-05-01 10:42:19.867,35.0,28.7708217,40.9854001,11.478,26,270
173,00:1B:10:18:43:B5,2020-05-01 13:40:58.027,36.0,29.0253073,41.1036559,21.287,29,271
176,00:1B:10:18:30:29,2020-05-01 13:49:44.370,42.0,29.0255023,41.1037118,75.947,28,274
177,00:1B:10:18:50:2F,2020-05-01 10:42:19.867,35.0,28.7708217,40.9854001,11.478,26,275
178,00:1B:10:18:43:B5,2020-05-01 13:57:58.287,36.0,29.0256595,41.1036446,21.559,29,276
180,00:1B:10:18:30:29,2020-05-01 13:59:44.407,36.0,29.0256962,41.1036752,15.016,28,278
187,00:1B:10:18:50:2F,2020-05-01 10:42:19.867,35.0,28.7708217,40.9854001,11.478,26,285
201,00:1B:10:18:50:2F,2020-05-01 10:42:19.867,35.0,28.7708217,40.9854001,11.478,26,303
211,00:1B:10:18:30:29,2020-05-01 14:19:44.423,35.0,29.0256703,41.1036846,19.271,28,314
222,00:1B:10:18:50:2F,2020-05-01 10:42:19.867,35.0,28.7708217,40.9854001,11.478,26,326
225,00:1B:10:18:1D:0C,2020-05-01 14:26:08.060,35.0,28.7617702,41.0472736,13.745,24,329
230,00:1B:10:18:43:B5,2020-05-01 14:27:58.420,36.0,29.025717,41.1036572,14.334,29,334
234,00:1B:10:18:30:29,2020-05-01 14:29:44.457,35.0,29.0256662,41.1036342,67.611,28,338
235,00:1B:10:18:45:9B,2020-05-01 14:29:52.737,35.0,28.8222112,41.0538248,11.567,27,339
